MODEL,SCENARIO,REGION,,,
GCAM4,SSP5-Baseline,World,,,
UNIT,billions/million,million,EJ/billion,GtC/EJ,
YEARS,GDP/Pop,Population,Ener/GDP,Emiss/Ener,Emissions|CO2
2175,131.7706283,5791.3855,0.001662125,0.017184294,21.29699106
2176,131.4871524,5727.50036,0.001664717,0.017175774,21.01303118
2177,131.1972813,5663.61522,0.001667379,0.017167052,20.7290713
2178,130.9007962,5599.73008,0.001670113,0.01715812,20.44511142
2179,130.597468,5535.84494,0.001672924,0.01714897,20.16115153
2180,130.2870571,5471.9598,0.001675813,0.017139595,19.87719165
2181,129.9693125,5408.07466,0.001678786,0.017129985,19.59323177
2182,129.6439712,5344.18952,0.001681844,0.017120133,19.30927189
2183,129.3107574,5280.30438,0.001684993,0.017110027,19.02531201
2184,128.969382,5216.41924,0.001688235,0.01709966,18.74135213
2185,128.6195412,5152.5341,0.001691576,0.01708902,18.45739225
2186,128.2609164,5088.64896,0.001695019,0.017078096,18.17343237
2187,127.8931723,5024.76382,0.00169857,0.017066877,17.88947249
2188,127.5159569,4960.87868,0.001702234,0.017055352,17.60551261
2189,127.1288993,4896.99354,0.001706016,0.017043506,17.32155273
2190,126.7316092,4833.1084,0.001709922,0.017031327,17.03759285
2191,126.3236755,4769.22326,0.001713958,0.0170188,16.75363297
2192,125.9046647,4705.33812,0.001718131,0.017005911,16.46967308
2193,125.4741193,4641.45298,0.001722448,0.016992643,16.1857132
2194,125.0315563,4577.56784,0.001726917,0.016978979,15.90175332
2195,124.5764657,4513.6827,0.001731545,0.016964901,15.61779344
2196,124.1083076,4449.79756,0.001736341,0.01695039,15.33383356
2197,123.6265112,4385.91242,0.001741315,0.016935427,15.04987368
2198,123.1304717,4322.02728,0.001746477,0.016919989,14.7659138
2199,122.6195479,4258.14214,0.001751837,0.016904053,14.48195392
2200,122.0930598,4194.257,0.001757407,0.016887596,14.19799404
2201,121.5502852,4130.37186,0.001763201,0.01687059,13.91403416
2202,120.9904563,4066.48672,0.00176923,0.016853009,13.63007428
2203,120.4127568,4002.60158,0.001775511,0.016834821,13.3461144
2204,119.8163169,3938.71644,0.00178206,0.016815997,13.06215452
2205,119.2002098,3874.8313,0.001788893,0.016796501,12.77819463
2206,118.5634463,3810.94616,0.00179603,0.016776296,12.49423475
2207,117.9049699,3747.06102,0.001803491,0.016755344,12.21027487
2208,117.2236509,3683.17588,0.001811299,0.016733603,11.92631499
2209,116.5182795,3619.29074,0.001819479,0.016711026,11.64235511
2210,115.7875593,3555.4056,0.001828059,0.016687564,11.35839523
2211,115.0300987,3491.52046,0.001837067,0.016663166,11.07443535
2212,114.2444027,3427.63532,0.001846537,0.016637772,10.79047547
2213,113.4288624,3363.75018,0.001856506,0.016611322,10.50651559
2214,112.5817446,3299.86504,0.001867014,0.016583748,10.22255571
